População = 64, Experimentos = 150
1 threads
Probabilidade, Percentual Infectado
0.070000, 0.001252
0.080000, 0.001637
0.090000, 0.002130
0.100000, 0.003354
0.110000, 0.004467
0.120000, 0.006436
0.130000, 0.010544
0.140000, 0.017158
0.150000, 0.025931
0.160000, 0.040401
0.170000, 0.057360
0.180000, 0.082806
0.190000, 0.103956
0.200000, 0.121711
0.210000, 0.166996
0.220000, 0.187339
0.230000, 0.217701
0.240000, 0.263610
0.250000, 0.300782
0.260000, 0.337043
0.270000, 0.377903
0.280000, 0.405740
0.290000, 0.452185
0.300000, 0.484173
0.310000, 0.510203
0.320000, 0.542678
0.330000, 0.591861
0.340000, 0.600238
0.350000, 0.629655
0.360000, 0.644368
0.370000, 0.680442
0.380000, 0.713771
0.390000, 0.726820
0.400000, 0.753922
0.410000, 0.772797
